tile,tile_number,shard,offset,azimuth_0_deg,azimuth_1_deg,azimuth_2_deg,azimuth_3_deg,iso_valid_pixels,directional_valid_pixels,source_npz_sha256
tile_000001,1,0,0,113,195,216,283,12767,51059,3a30ff55e3a45520fa7e76ce156867825d7ece690a40d208e7ec049882d40cc2
tile_000002,2,0,1,72,153,338,356,10768,43063,5b78ef23d3a5b4580596b48694a0b2738c5821cb47581d73433cc74da57d8b4b
tile_000003,3,0,2,11,61,293,325,9906,39621,e18900179e04efb3abe59a6b656c39c485c1c3911ed333e8e8f6f0ed3cd2c223
tile_000004,4,0,3,39,59,160,318,11925,47700,f2673e5d553d519fca94606af52f324efcaee8ffbb13062a3e028e64acdc8dd7
tile_000005,5,0,4,14,46,129,175,12970,51878,248b23cc2ff5feeca46f4c3e906e68f2039f42e5a48615a75532ab9476aeda19
tile_000006,6,0,5,17,212,249,254,10259,41007,850f5bb15f5c6a4979ae94542ce5ace3cf47226d90aaa0148aac2367c187e4ba
tile_000007,7,0,6,42,44,106,218,11971,47856,f38d5f950b153a1281b38c2fcdd8e63c6d9a5744610bd61a1f2bdd6228989785
tile_000008,8,0,7,80,228,311,345,12330,49318,6b25af5be053ee277717ce81e0908b7282873f7fe201fc9bebd905cf552a705a
tile_000009,9,0,8,4,159,175,250,12128,48510,053cda7ad08876f1df93e8d2512c17f7077563fee66f32f7d17bc5ed02761c86
tile_000010,10,0,9,90,179,190,218,8280,33096,78b5b89d76a419715852bf6cf8c6a3146be6a221114ea27ea403775087caf847
tile_000011,11,0,10,19,80,335,355,12364,49435,5ca472ca2c07b512966505150d9cbefcb718785babcd169089c362a0ae031065
tile_000012,12,0,11,131,201,282,307,9420,37661,88efee57a701613800c1c3d4714363b05f20cff541ceebfd8be4a2f1387d7f57
tile_000013,13,0,12,27,124,126,199,9144,36558,8504b63d02f0cb32e4d7ec1f15ac335fc538b8da9d59b2ab225c2579c3a78c12
tile_000014,14,0,13,32,97,98,340,12088,48312,ab77270bebeaed2e2ea204da817fa29ea24a965339f9cba738a7d16ade7fb388
tile_000015,15,0,14,70,107,169,172,9448,37792,9d4b8557ec5f3ed2df6101b6c347d5a32a23660d11970527917a4c4afa668a99
tile_000016,16,0,15,87,195,201,203,11558,46223,391189a854b952847d7a28375321b69726be285e02340bac848d82b40a2a9c06
tile_000017,17,0,16,110,137,209,335,9542,38165,4bb2aede2f568ea2db688fbdfc08ad1270d4b26a50b5dd9d6fd499b8b79ea6f7
tile_000018,18,0,17,46,101,216,295,12207,48828,b3145857badae786a4f45426b7a2a437d239db373c5de151f38c7ecb2591a9df
tile_000019,19,0,18,187,189,293,308,11177,44682,b51763e2c250c6088c93646057a8b8725bba84477b35cde47bc259288f75f209
tile_000020,20,0,19,129,244,314,323,8928,35708,cf257d788c3fbe41d07320da1a2e215ff065f2c2b16c09d66eddd4e841100f4a
tile_000021,21,0,20,221,285,348,357,11608,46429,c6f0701b3faf37fcde54ce937956b3f398d242a5effc119e8af72bb5964be2f0
tile_000022,22,0,21,19,128,207,274,12723,50892,d9e5b5a7a17d80cc89d9e754d197ff1a0067f4312f8e8802cbb3194009d90275
tile_000023,23,0,22,6,87,229,304,11024,44090,86d0fe1c4827f0ec0620eb2bc633eeadd3a71ba155f8ea91d63253fa5ec54503
tile_000024,24,0,23,136,196,239,249,8288,33140,2d696c062bf733fadb41e8ac3c3fd2a82f94f5f4b625609483862f98afa69474
tile_000025,25,0,24,11,28,303,322,10336,41344,c24570184f8cad42199384e98af8d51918a7fc8d747360ddd4fe98be2adefa56
tile_000026,26,0,25,30,177,191,248,12685,50737,5e3755e2a0d898f1589a49303dfe4750a284e337e9b53c1e08c2647418aff8ce
tile_000027,27,0,26,221,243,281,309,10286,41097,d834a41d32a038a5372eb03ddb2218383c89cc92832335b80540cf79961ea992
tile_000028,28,0,27,100,185,208,306,11638,46552,8d0f6a59f578a717eef7ef6295400b76993fb3e418551a2f9f6c2974cb1ac069
tile_000029,29,0,28,207,288,301,351,9978,39912,55c7ac342ffc7e75df7e6328dbe10fb7f560008faed76b5c140e4b4e08e2cda3
tile_000030,30,0,29,108,255,262,301,12432,49725,09faa4251398e2d4f1443dff040d005e0c5f22ebdb7935f0b2a5a866939779ad
tile_000031,31,0,30,133,180,235,254,10542,42168,b29700f9ac39bb95ee7fa1cfc9e8d03f723f9fdc0a720342704cc9e223dbc9fd
tile_000032,32,0,31,13,170,176,230,9615,38434,2776fa1d1ec9ef627581752cd68438fe6ee95da20015bae82b0de36e06b73e40
